State,Year,Month,Period,Percent Complete,Percent Pending Investigation,Percent with drugs specified,StateName
AK,2015,January,12 month-ending,100,0,89.68,Alaska
AK,2015,February,12 month-ending,100,0,88.98,Alaska
AK,2015,March,12 month-ending,100,0,88.8,Alaska
AK,2015,April,12 month-ending,100,0,88.1,Alaska
AK,2015,May,12 month-ending,100,0,86.4,Alaska
AK,2015,June,12 month-ending,100,0,86.78,Alaska
AK,2015,July,12 month-ending,100,0,87.18,Alaska
AK,2015,August,12 month-ending,100,0,87.9,Alaska
AK,2015,September,12 month-ending,100,0,88,Alaska
AK,2015,October,12 month-ending,100,0,90,Alaska
AK,2015,November,12 month-ending,100,0,90.43,Alaska
AK,2015,December,12 month-ending,100,0,89.26,Alaska
AK,2016,January,12 month-ending,,0,90.48,Alaska
AK,2016,February,12 month-ending,,0,91.41,Alaska
AK,2016,March,12 month-ending,,0,92.8,Alaska
AK,2016,April,12 month-ending,,0,93.94,Alaska
AK,2016,May,12 month-ending,,0,95.71,Alaska
AK,2016,June,12 month-ending,,0,97.1,Alaska
AK,2016,July,12 month-ending,,0,96.5,Alaska
AK,2016,August,12 month-ending,,0.02,96.38,Alaska
AK,2016,September,12 month-ending,,0.05,96.95,Alaska
AK,2016,October,12 month-ending,,0.07,96.95,Alaska
AK,2016,November,12 month-ending,,0.07,97.74,Alaska
AK,2016,December,12 month-ending,,0.07,99.22,Alaska
AK,2017,January,12 month-ending,,0.07,99.21,Alaska
AK,2017,February,12 month-ending,,0.07,98.39,Alaska
AK,2017,March,12 month-ending,,0.07,98.41,Alaska
AK,2017,April,12 month-ending,,0.07,97.44,Alaska
AK,2017,May,12 month-ending,,0.07,96.67,Alaska
AK,2017,June,12 month-ending,,0.07,96.72,Alaska
AK,2017,July,12 month-ending,,0.07,97.66,Alaska
AK,2017,August,12 month-ending,,0.05,97.08,Alaska
AK,2017,September,12 month-ending,,0.02,97.3,Alaska
AK,2017,October,12 month-ending,,0,97.22,Alaska
AK,2017,November,12 month-ending,,0,97.1,Alaska
AK,2017,December,12 month-ending,,0,97.16,Alaska
AK,2018,January,12 month-ending,100,0,97.1,Alaska
AK,2018,February,12 month-ending,100,0,97.84,Alaska
AK,2018,March,12 month-ending,100,0,97.79,Alaska
AK,2018,April,12 month-ending,100,0,98.59,Alaska
AK,2018,May,12 month-ending,100,0,99.21,Alaska
AK,2018,June,12 month-ending,100,0,99.2,Alaska
AK,2018,July,12 month-ending,100,0,99.14,Alaska
AK,2018,August,12 month-ending,100,0,100,Alaska
AK,2018,September,12 month-ending,100,0,100,Alaska
AK,2018,October,12 month-ending,100,0,100,Alaska
AK,2018,November,12 month-ending,100,0,100,Alaska
AK,2018,December,12 month-ending,100,0,100,Alaska
AK,2019,January,12 month-ending,100,0,100,Alaska
AK,2019,February,12 month-ending,100,0,100,Alaska
AK,2019,March,12 month-ending,100,0,100,Alaska
AK,2019,April,12 month-ending,100,0,100,Alaska
AK,2019,May,12 month-ending,100,0,100,Alaska
AK,2019,June,12 month-ending,100,0,98.48,Alaska
AK,2019,July,12 month-ending,100,0,98.52,Alaska
AK,2019,August,12 month-ending,100,0,98.46,Alaska
